Processing phage1.fasta...
Processing phage10.fasta...
Processing phage2.fasta...
Processing phage3.fasta...
Processing phage4.fasta...
Processing phage5.fasta...
Processing phage6.fasta...
Processing phage7.fasta...
Processing phage8.fasta...
Processing phage9.fasta...
Phage Summary:

Genome	GC%	Repeats	Inverted
phage10	0.43	1	65
phage1	0.30	1	16
phage2	0.40	1	16
phage3	0.39	1	14
phage4	0.57	1	41
phage5	0.57	2	44
phage6	0.47	1	46
phage7	0.48	1	34
phage8	0.61	2	25
phage9	0.37	1	22
